Tin_Cold,Tin_Normal,Tin_Hot,Tin_label,Tin_degree,Tout_Cold,Tout_Normal,Tout_Hot,Tout_label,Tout_degree,Hin_Dry,Hin_Normal,Hin_Wet,Hin_label,Hin_degree,Hout_Dry,Hout_Normal,Hout_Wet,Hout_label,Hout_degree,L_Low,L_Normal,L_High,L_label,L_degree,Solar_Low,Solar_Normal,Solar_High,Solar_label,Solar_degree,CO2_Low,CO2_Normal,CO2_High,CO2_label,CO2_degree,Wind_Low,Wind_Medium,Wind_High,Wind_label,Wind_degree,N_Low,N_Normal,N_High,N_label,N_degree,E_Low,E_Normal,E_High,E_label,E_degree,W,status
0.03136553872400066,0.4843172306379999,0.0,Normal,0.4843172306379999,0.0,0.922551873556483,0.0,Normal,0.922551873556483,0.0,0.7566629344400781,0.0,Normal,0.7566629344400781,0.0,0.9616635145638917,0.0,Normal,0.9616635145638917,0.0,0.8779728285026205,0.0,Normal,0.8779728285026205,0.5426303964973952,0.22868480175130235,0.0,Low,0.5426303964973952,0.0,0.41460658810010825,0.17078682379978347,Normal,0.41460658810010825,0.47284632231166035,0.26357683884416977,0.0,Low,0.47284632231166035,0.05363984674329458,0.47318007662835265,0.0,Normal,0.47318007662835265,0.0,0.5394939160015537,0.0,Normal,0.5394939160015537,1,Acceptable
0.0,0.7193595144247534,0.0,Normal,0.7193595144247534,0.0,0.5660852643728591,0.0,Normal,0.5660852643728591,0.0,0.5737284166917288,0.0,Normal,0.5737284166917288,0.0,0.9569623237764107,0.0,Normal,0.9569623237764107,0.0,0.9999193843630573,0.0,Normal,0.9999193843630573,0.0,0.6772813626610833,0.0,Normal,0.6772813626610833,0.0,0.5531936052829857,0.0,Normal,0.5531936052829857,0.6712384117655628,0.1643807941172186,0.0,Low,0.6712384117655628,1.0,0.0,0.0,Low,1.0,0.17943251157125828,0.41028374421437075,0.0,Normal,0.41028374421437075,0,Acceptable
0.0,0.30335372693854473,0.39329254612290987,Hot,0.39329254612290987,0.6964088005647316,0.15179559971763412,0.0,Cold,0.6964088005647316,0.0,0.7687066186891901,0.0,Normal,0.7687066186891901,0.0,0.9094820804102763,0.0,Normal,0.9094820804102763,1.0,0.0,0.0,Low,1.0,0.0,0.0,1.0,High,1.0,0.0,0.9548548455954017,0.0,Normal,0.9548548455954017,1.0,0.0,0.0,Low,1.0,0.0,0.6647509578544063,0.0,Normal,0.6647509578544063,0.0,0.0,1.0,High,1.0,3,Acceptable
0.0,0.5272746040534244,0.0,Normal,0.5272746040534244,0.0,0.6760963971631346,0.0,Normal,0.6760963971631346,0.0,0.9545889178661099,0.0,Normal,0.9545889178661099,0.0,0.6052380288163373,0.0,Normal,0.6052380288163373,1.0,0.0,0.0,Low,1.0,0.0,0.3760452122305748,0.24790957553885035,Normal,0.3760452122305748,0.0,0.6575766150397502,0.0,Normal,0.6575766150397502,0.0,0.8286356249578921,0.0,Medium,0.8286356249578921,0.0,0.4731800766283523,0.05363984674329525,Normal,0.4731800766283523,0.0,0.5589480326437295,0.0,Normal,0.5589480326437295,3,Acceptable
0.0,0.8390761752223033,0.0,Normal,0.8390761752223033,0.0,0.6604367726156082,0.0,Normal,0.6604367726156082,0.0,0.8873964366970919,0.0,Normal,0.8873964366970919,0.0,0.7845278965514667,0.0,Normal,0.7845278965514667,0.0,0.734901452142187,0.0,Normal,0.734901452142187,0.0,0.8053249301276685,0.0,Normal,0.8053249301276685,0.0,0.949956423295576,0.0,Normal,0.949956423295576,0.0,0.8563467309885274,0.0,Medium,0.8563467309885274,0.0,0.0,1.0,High,1.0,0.0,0.8739929166798639,0.0,Normal,0.8739929166798639,0,Acceptable
0.0,0.3495009458567138,0.3009981082865716,Normal,0.3495009458567138,0.0,0.296898945694835,0.40620210861032985,Hot,0.40620210861032985,0.0,0.876489821810146,0.0,Normal,0.876489821810146,0.0,0.9384165748400198,0.0,Normal,0.9384165748400198,0.0,0.6824668000846452,0.0,Normal,0.6824668000846452,0.0,0.9297494217606973,0.0,Normal,0.9297494217606973,0.0,0.9999769947399123,0.0,Normal,0.9999769947399123,0.0,0.7163130810638183,0.0,Medium,0.7163130810638183,0.0,0.5689655172413791,0.0,Normal,0.5689655172413791,0.0,0.649927173244549,0.0,Normal,0.649927173244549,0,Acceptable
0.12071924499356351,0.4396403775032185,0.0,Normal,0.4396403775032185,0.7227538578039593,0.1386230710980203,0.0,Cold,0.7227538578039593,0.0,0.9428217178294167,0.0,Normal,0.9428217178294167,0.0,0.8788213626379987,0.0,Normal,0.8788213626379987,0.5969518045597159,0.201524097720142,0.0,Low,0.5969518045597159,0.0,0.987935900386831,0.0,Normal,0.987935900386831,0.05516701197902206,0.47241649401048896,0.0,Normal,0.47241649401048896,0.0,0.773184715867668,0.0,Medium,0.773184715867668,0.24521072796934829,0.3773946360153258,0.0,Normal,0.3773946360153258,0.0,0.8543651228633057,0.0,Normal,0.8543651228633057,0,Acceptable
0.4162972055142008,0.29185139724289977,0.0,Cold,0.4162972055142008,0.0,0.26619749182280283,0.46760501635439417,Hot,0.46760501635439417,0.0,0.17640693364418464,0.6471861327116304,Wet,0.6471861327116304,0.0,0.6845026627410559,0.0,Normal,0.6845026627410559,0.0,0.9974686020495431,0.0,Normal,0.9974686020495431,0.5847576758174907,0.20762116209125459,0.0,Low,0.5847576758174907,0.0,0.9537478860023154,0.0,Normal,0.9537478860023154,0.0,0.8358625728433028,0.0,Medium,0.8358625728433028,0.0,0.18582375478927182,0.6283524904214562,High,0.6283524904214562,0.0,0.3420641137198246,0.315871772560351,Normal,0.3420641137198246,3,Acceptable
0.34373312013560164,0.32813343993219934,0.0,Cold,0.34373312013560164,0.0,0.9135103837714988,0.0,Normal,0.9135103837714988,0.17320990985812676,0.4133950450709368,0.0,Normal,0.4133950450709368,0.0,0.5642627998774633,0.0,Normal,0.5642627998774633,1.0,0.0,0.0,Low,1.0,0.0,0.454531528720128,0.09093694255974406,Normal,0.454531528720128,0.0,0.6067835961506918,0.0,Normal,0.6067835961506918,0.1870498271584637,0.4064750864207681,0.0,Medium,0.4064750864207681,0.0,0.8563218390804601,0.0,Normal,0.8563218390804601,0.05530564499062204,0.47234717750468885,0.0,Normal,0.47234717750468885,3,Acceptable
0.0,0.5894729228487432,0.0,Normal,0.5894729228487432,0.0,0.7599188643898503,0.0,Normal,0.7599188643898503,0.0,0.7833428838738448,0.0,Normal,0.7833428838738448,0.0,0.9837819750186972,0.0,Normal,0.9837819750186972,0.0,0.6047724804982972,0.0,Normal,0.6047724804982972,0.0,0.7121104536013476,0.0,Normal,0.7121104536013476,0.0,0.9249825343621658,0.0,Normal,0.9249825343621658,0.0,0.8696669184291096,0.0,Medium,0.8696669184291096,0.05363984674329458,0.47318007662835265,0.0,Normal,0.47318007662835265,0.0,0.8119299434108903,0.0,Normal,0.8119299434108903,0,Acceptable
