antecedent,consequent,weight,count,source_row,confidence
Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=High AND W=0,Acceptable,0.4509007059640627,1,1411,0.8234220862797279
Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND Wind=Medium AND N=Low AND E=High AND W=3,Acceptable,0.3473852763623821,1,1666,0.7641323354468457
Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND Wind=Medium AND N=Normal AND E=Normal AND W=0,Acceptable,0.4867367642840229,1,303,0.8509437656558997
Hin=Normal AND Hout=Normal AND Solar=Low AND CO2=Normal AND Wind=Low AND N=Low AND E=Normal AND W=3,Acceptable,0.3625827706879077,1,1464,0.7603722485063896
Hin=Normal AND Hout=Normal AND Solar=Low AND CO2=Normal AND Wind=Medium AND N=High AND E=Normal AND W=1,Acceptable,0.3725821070582273,1,1673,0.8094000545089203
Hin=Normal AND Hout=Normal AND Solar=Low AND CO2=Normal AND Wind=Medium AND N=Low AND E=Normal AND W=0,Acceptable,0.3503382766344813,1,754,0.8305916958346329
Hin=Normal AND Hout=Normal AND Solar=Normal AND CO2=High AND Wind=Medium AND N=Low AND E=Normal AND W=3,Acceptable,0.3844965020612395,1,1108,0.5471866122929974
Hin=Normal AND Hout=Normal AND Solar=Normal AND CO2=Normal AND Wind=Low AND N=High AND E=Normal AND W=3,Acceptable,0.3558759829060741,1,1172,0.3164861654463658
Hin=Normal AND Hout=Normal AND Solar=Normal AND CO2=Normal AND Wind=Low AND N=Normal AND E=Normal AND W=0,Acceptable,0.3797699130018898,1,661,0.9564563091303383
Hin=Normal AND Hout=Normal AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=Normal AND E=Normal AND W=1,Poor,0.3877436126134921,1,1099,0.3564839343984268
Hin=Normal AND Hout=Wet AND L=Normal AND Solar=Low AND CO2=Normal AND Wind=Medium AND N=Normal AND W=1,Poor,0.3553754448756979,1,648,0.2557622704009815
Hin=Normal AND Hout=Wet AND L=Normal AND Solar=Low AND Wind=Medium AND N=High AND E=Normal AND W=1,Acceptable,0.4498973881736089,1,1074,0.8227890007928287
Hin=Normal AND Hout=Wet AND L=Normal AND Solar=Low AND Wind=Medium AND N=Low AND E=Normal AND W=1,Acceptable,0.3655111466615077,1,1291,0.7505889920024666
Hin=Normal AND Hout=Wet AND L=Normal AND Solar=Low AND Wind=Medium AND N=Normal AND E=High AND W=0,Poor,0.3848620426525563,1,850,0.9999999999870617
Hin=Normal AND L=High AND Solar=Low AND CO2=Low AND Wind=Low AND N=High AND E=Normal AND W=3,Acceptable,0.4451799401210845,1,1339,0.9999999999979317
Hin=Normal AND L=Normal AND Solar=Low AND CO2=High AND Wind=Medium AND N=Low AND E=Normal AND W=1,Acceptable,0.3531819348100384,1,1726,0.3536427144471261
Hin=Normal AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Low AND N=High AND E=Normal AND W=0,Acceptable,0.4606321570498404,2,1547,0.9531083692589729
Hin=Normal AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Low AND N=Normal AND E=High AND W=3,Acceptable,0.3966144078797751,1,1281,0.9086392316175665
Hin=Normal AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Low AND N=Normal AND E=Low AND W=3,Good,0.4222125440226797,1,156,0.8954789042656404
Hin=Wet AND Hout=Normal AND L=Normal AND Solar=Low AND CO2=Normal AND Wind=Medium AND N=High AND W=3,Acceptable,0.4162882188607112,1,1097,0.9999999999922529
Hin=Wet AND Hout=Wet AND L=High AND Solar=Low AND CO2=Normal AND N=Normal AND E=Normal AND W=1,Poor,0.3347710434196441,1,1573,0.7361620393626203
Hin=Wet AND Hout=Wet AND L=Low AND Solar=High AND CO2=Normal AND Wind=Medium AND N=Normal AND W=3,Good,0.3833986931374841,1,470,0.365940884770583
Hin=Wet AND Hout=Wet AND L=Normal AND Solar=Low AND CO2=Low AND Wind=Medium AND E=Normal AND W=1,Poor,0.4057794995688902,1,21,0.5244784342032289
Hin=Wet AND Hout=Wet AND L=Normal AND Solar=Low AND CO2=Normal AND Wind=Low AND E=Normal AND W=3,Acceptable,0.3457791121615602,1,643,0.999999999977676
Hin=Wet AND Hout=Wet AND L=Normal AND Solar=Low AND CO2=Normal AND Wind=Medium AND E=Normal AND W=2,Poor,0.6444059446963675,1,889,0.9999999999992588
Hin=Wet AND Hout=Wet AND L=Normal AND Solar=Low AND Wind=Low AND N=High AND E=Normal AND W=1,Acceptable,0.434597138068918,1,72,0.9979583513366459
Hin=Wet AND Hout=Wet AND L=Normal AND Solar=Low AND Wind=Medium AND N=High AND E=Normal AND W=1,Poor,0.4769862268280918,1,1008,0.27577147909054633
Hin=Wet AND Hout=Wet AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=High AND W=0,Poor,0.5325596764756699,1,1070,0.6001221601979222
Hin=Wet AND Hout=Wet AND Solar=Low AND CO2=Normal AND Wind=High AND N=High AND E=Normal AND W=1,Acceptable,0.6015418345297067,1,278,0.7507601567360908
Hin=Wet AND Hout=Wet AND Solar=Low AND CO2=Normal AND Wind=High AND N=Normal AND E=Normal AND W=2,Poor,0.3888464223843993,1,1037,0.9999999999970794
Hin=Wet AND L=High AND Solar=Low AND CO2=Low AND Wind=Medium AND N=Normal AND E=Normal AND W=0,Acceptable,0.3520548526995845,1,1514,0.999999999991237
Hin=Wet AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=High AND E=Normal AND W=3,Good,0.3692449637163354,1,1644,0.6150941846570046
Hout=Dry AND L=Normal AND Solar=Low AND CO2=Normal AND Wind=Medium AND N=High AND E=Normal AND W=0,Acceptable,0.4395834489727578,1,234,0.9792427814880849
Hout=Normal AND L=Normal AND Solar=Low AND CO2=Normal AND Wind=Medium AND N=High AND E=Normal AND W=0,Acceptable,0.4584077641052924,1,483,0.9649696366717907
Hout=Normal AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Medium AND N=Normal AND E=Normal AND W=0,Acceptable,0.384300788155339,1,1235,0.847100553334293
Hout=Wet AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Low AND N=Normal AND E=High AND W=1,Poor,0.4159599994898386,1,724,0.912770142808988
Tin=Cold AND Hin=Dry AND Hout=Dry AND L=Low AND CO2=Normal AND Wind=Medium AND E=Normal AND W=3,Poor,0.4731800766283526,1,593,0.8108198997209967
Tin=Cold AND Hin=Dry AND Hout=Dry AND L=Normal AND CO2=Normal AND N=Low AND E=Low AND W=3,Poor,0.4466687976915065,1,1305,0.9537303624693471
Tin=Cold AND Hin=Dry AND Hout=Dry AND L=Normal AND Solar=Normal AND CO2=Normal AND N=Low AND W=3,Poor,0.3597753203684974,1,426,0.934500427258498
Tin=Cold AND Hin=Dry AND Hout=Normal AND L=Normal AND Solar=Normal AND Wind=Medium AND N=Low AND W=3,Acceptable,0.3700933227249464,1,446,0.6794076790056696
Tin=Cold AND Hin=Dry AND Hout=Normal AND L=Normal AND Solar=Normal AND Wind=Medium AND N=Normal AND W=3,Poor,0.3859540272639616,1,127,0.7737547885089128
Tin=Cold AND Hin=Normal AND Hout=Normal AND CO2=Normal AND Wind=Medium AND N=Normal AND E=Normal AND W=1,Poor,0.4788219562652568,1,531,0.8806488843938026
Tin=Cold AND Hin=Normal AND Hout=Normal AND L=Low AND CO2=Normal AND N=Low AND E=Normal AND W=3,Poor,0.3960202776606257,1,1254,0.7062650135285211
Tin=Cold AND Hin=Normal AND Hout=Normal AND L=Low AND Solar=Normal AND CO2=Normal AND Wind=Low AND W=3,Poor,0.3773946360153258,1,335,0.7065609914284069
Tin=Cold AND Hin=Normal AND Hout=Normal AND L=Low AND Solar=Normal AND CO2=Normal AND Wind=Medium AND W=0,Poor,0.542873087207149,1,875,0.7030607788665522
Tin=Cold AND Hin=Normal AND Hout=Normal AND L=Normal AND CO2=High AND N=Normal AND E=Normal AND W=0,Poor,0.3871386740170477,1,253,0.8939602238361002
Tin=Cold AND Hin=Normal AND Hout=Normal AND L=Normal AND CO2=Normal AND Wind=Medium AND E=Normal AND W=1,Poor,0.3706821680857954,1,388,0.8750819515134519
Tin=Cold AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Low AND CO2=Low AND Wind=Medium AND W=1,Poor,0.4162032197239707,1,924,0.9314033425026175
Tin=Cold AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Low AND N=Normal AND E=High AND W=2,Poor,0.4671356299462585,1,1124,0.999999999995309
Tin=Cold AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Low AND Wind=Low AND E=Normal AND W=1,Poor,0.4006939539806503,1,1183,0.6679713971098458
Tin=Cold AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Low AND W=3,Poor,0.4279082258364604,1,1614,0.4627081073312514
Tin=Cold AND Hin=Normal AND Hout=Normal AND L=Normal AND Wind=Medium AND N=Low AND E=Normal AND W=3,Acceptable,0.3622823006646005,1,1071,0.6300070638742247
Tin=Cold AND Hin=Normal AND L=High AND Solar=Low AND CO2=Normal AND N=Low AND E=Normal AND W=1,Poor,0.3394202969066423,1,1435,0.9976111452599792
Tin=Cold AND Hin=Normal AND L=Normal AND Solar=Low AND CO2=Normal AND Wind=High AND E=Normal AND W=2,Poor,0.5167404860432353,1,192,0.9999999999988325
Tin=Cold AND Hin=Normal AND L=Normal AND Solar=Low AND Wind=Medium AND N=Normal AND E=Normal AND W=3,Acceptable,0.5293865726811088,1,289,0.9811630437407546
Tin=Cold AND Hin=Normal AND Solar=Low AND CO2=Normal AND Wind=High AND N=Normal AND E=Normal AND W=1,Poor,0.3829748785709784,1,311,0.9756777691321866
Tin=Cold AND Hin=Wet AND Hout=Wet AND L=High AND Solar=Low AND CO2=Normal AND Wind=Medium AND W=1,Poor,0.4792682174574195,1,825,0.9763432887886824
Tin=Cold AND Hin=Wet AND Hout=Wet AND L=Normal AND Solar=Low AND CO2=Normal AND N=Normal AND W=3,Poor,0.3470754564663936,1,941,0.9634702820792482
Tin=Cold AND Hin=Wet AND Hout=Wet AND L=Normal AND Solar=Normal AND CO2=Normal AND N=High AND W=3,Acceptable,0.4215796359616313,1,152,0.9999999999962538
Tin=Cold AND Hin=Wet AND L=Low AND CO2=High AND Wind=Low AND N=Low AND E=Low AND W=3,Poor,0.3579871876833983,1,1201,0.9999481887236673
Tin=Cold AND Hout=Normal AND L=Normal AND Solar=Normal AND CO2=High AND Wind=Medium AND N=Normal AND W=3,Poor,0.4110844947583645,1,837,0.8471564050378498
Tin=Cold AND Hout=Wet AND L=Normal AND CO2=Normal AND Wind=Medium AND N=Normal AND E=Normal AND W=1,Poor,0.3528675535429331,1,1712,0.8469597388647582
Tin=Cold AND Hout=Wet AND L=Normal AND Solar=Normal AND CO2=Low AND N=High AND E=Normal AND W=0,Poor,0.5264128667569693,1,1400,0.9999999999874377
Tin=Cold AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Low AND N=Normal AND E=Normal AND W=3,Acceptable,0.3562649196688218,1,563,0.7580489781197268
Tin=Cold AND Tout=Cold AND Hin=Normal AND Hout=Normal AND L=Normal AND Solar=Normal AND Wind=Medium AND W=3,Poor,0.3892633926594656,1,1699,0.4941751829816199
Tin=Cold AND Tout=Cold AND Hin=Normal AND Hout=Normal AND Wind=Low AND N=Normal AND E=Normal AND W=0,Acceptable,0.442921736537652,1,1255,0.9999999999947911
Tin=Cold AND Tout=Cold AND Hin=Normal AND L=High AND Solar=Low AND CO2=Normal AND N=Low AND W=1,Poor,0.4628387830172555,1,828,0.9999999999990214
Tin=Cold AND Tout=Cold AND Hin=Normal AND L=Low AND Solar=High AND CO2=Normal AND E=Normal AND W=3,Acceptable,0.3527086859150868,1,1480,0.7179178734844696
Tin=Cold AND Tout=Cold AND Hin=Normal AND L=Normal AND Wind=Medium AND N=Low AND E=Normal AND W=1,Poor,0.4659510231010071,1,1568,0.9998253940956673
Tin=Cold AND Tout=Cold AND Hin=Normal AND Solar=Normal AND CO2=Normal AND Wind=Low AND N=Low AND W=3,Poor,0.5523749726897227,1,1373,0.9590589449239213
Tin=Cold AND Tout=Cold AND Hout=Dry AND L=Normal AND Solar=Low AND CO2=Normal AND Wind=Medium AND W=3,Acceptable,0.436781609195402,1,949,0.9999999999879285
Tin=Cold AND Tout=Cold AND Hout=Normal AND L=High AND CO2=Normal AND Wind=Medium AND E=Normal AND W=0,Poor,0.4691137071970641,1,923,0.8238777507128697
Tin=Cold AND Tout=Cold AND Hout=Normal AND Solar=Normal AND CO2=Normal AND Wind=Medium AND E=Normal AND W=3,Poor,0.3773946360153258,1,240,0.5126995584840345
Tin=Cold AND Tout=Cold AND L=Normal AND Solar=Low AND Wind=Low AND N=High AND E=Normal AND W=0,Poor,0.3600129144108526,1,801,0.9999999999913766
Tin=Cold AND Tout=Cold AND L=Normal AND Solar=Normal AND CO2=Normal AND Wind=Medium AND E=Normal AND W=0,Poor,0.4629614147806409,1,532,0.9244601444430812
